run	BC1	BC2	BC3	BC4	BC5
1101	2045.1686645340	1817.4462138269	4704.7165147299	5100.9860097478	4248.8949293787
1102	2041.4627386631	1811.4249544031	4704.1703599245	5100.6491673017	4248.9380933920
1103	2038.8432101043	1806.8120765141	4703.5785805205	5100.3021930429	4248.9455992983
1104	2037.5520366956	1803.4028661542	4702.9428977095	5099.9448916057	4248.9189000782
1105	2037.8311762749	1800.9926093175	4702.2650326832	5099.5770676240	4248.8594487123
1106	2039.7961118216	1799.3765919985	4701.5467066331	5099.1985257318	4248.7686981814
1107	2043.0564268826	1798.3501001912	4700.7896407507	5098.8090705632	4248.6481014660
1108	2047.0952301463	1797.7084198901	4699.9955562278	5098.4085067521	4248.4991115468
1109	2051.3956303011	1797.2468370893	4699.1661742558	5097.9966389328	4248.3231814044
1110	2055.4407360355	1796.8061578978	4698.3032160265	5097.5732717390	4248.1217640195
1111	2058.7136560378	1796.4092688839	4697.4084027313	5097.1382098050	4247.8963123728
1112	2060.8110689252	1796.1245767303	4696.4834555619	5096.6912577646	4247.6482794448
1113	2061.7839330283	1796.0204881200	4695.5300957098	5096.2322202520	4247.3791182163
1114	2061.7967766068	1796.1654097359	4694.5500443667	5095.7609019012	4247.0902816678
1115	2061.0141279199	1796.6096931097	4693.5450227242	5095.2771073461	4246.7832227800
1116	2059.6005152271	1797.3314691689	4692.5167519737	5094.7806412209	4246.4593945336
1117	2057.7204667877	1798.2908136897	4691.4669533071	5094.2713081596	4246.1202499092
1118	2055.5385108612	1799.4478024486	4690.3973479157	5093.7489127961	4245.7672418875
1119	2053.2191757069	1800.7625112218	4689.3096569913	5093.2132597646	4245.4018234490
1120	2050.8999137712	1802.1950157857	4688.2056017254	5092.6641536990	4245.0254475745
1121	2048.6098742486	1803.7053919166	4687.0869033096	5092.1013992333	4244.6395672446
1122	2046.3511305205	1805.2537153907	4685.9552829355	5091.5248010017	4244.2456354399
1123	2044.1257559682	1806.8000619845	4684.8124617947	5090.9341636381	4243.8451051411
