Common TimeShift, ns
566
Plane	 Strip	 TimeShift, ns
46	17	0.0000
46	18	0.0000
46	19	0.0000
46	20	0.0000
46	21	0.0000
46	22	0.0000
46	23	0.0000
46	24	0.0000
46	25	0.0000
46	26	0.0000
46	27	0.0000
46	28	0.0000
46	29	0.0000
46	30	0.0000
46	31	0.0000
47	0	20.7708
47	1	21.1045
47	2	21.1292
47	3	21.1068
47	4	21.1056
47	5	21.1130
47	6	21.1439
47	7	21.1240
47	8	21.1474
47	9	21.1221
47	10	21.1467
47	11	21.1452
47	12	21.1236
47	13	21.1491
47	14	21.1522
47	15	21.1906
47	16	0.0000
47	17	0.0000
47	18	0.0000
47	19	0.0000
47	20	0.0000
47	21	0.0000
47	22	0.0000
47	23	0.0000
47	24	0.0000
47	25	0.0000
47	26	0.0000
47	27	0.0000
47	28	0.0000
47	29	0.0000
