nRun 0.000 0.000 ZcoorHe
3495 1.053 -0.184 5.875
3496 1.071 -0.241 5.825
3497 1.053 -0.132 5.825
3498 1.053 -0.132 5.825
3499 1.091 -0.300 5.775
3500 1.071 -0.241 5.825
3503 0.952 0.262 2.025
3504 1.000 0.125 2.025
3505 0.952 0.262 2.025
3506 1.017 0.076 2.025
3507 1.017 0.025 2.025
3508 1.034 -0.026 2.025
3509 1.000 0.125 2.025
3510 1.017 0.076 2.025
3511 1.017 0.076 2.075
3512 0.938 0.352 2.075
3513 1.000 0.075 2.125
3514 1.053 -0.132 5.825
3515 1.017 0.025 0.000
3516 1.017 0.025 5.875
3517 1.053 -0.132 5.825
3518 1.034 -0.026 5.825
3519 1.053 -0.132 5.825
3520 1.053 -0.132 5.825
3521 1.053 -0.132 5.825
3522 1.053 -0.132 5.825
3523 1.053 -0.132 5.825
3524 1.053 -0.132 5.825
3525 1.053 -0.132 5.825
3526 1.053 -0.132 5.825
3527 1.053 -0.132 5.825
3528 1.053 -0.132 5.825
3529 1.053 -0.132 5.825
3530 1.053 -0.132 5.825
3531 1.053 -0.132 5.825
3532 1.053 -0.132 5.825
3535 1.053 -0.132 5.825
3536 1.053 -0.132 5.825
3537 1.053 -0.132 5.825
3538 1.034 -0.026 5.825
3539 1.053 -0.132 5.825
3541 1.053 -0.079 5.775
3542 1.053 -0.132 5.825
3543 1.034 -0.026 5.825
3544 1.034 -0.026 5.825
3545 1.053 -0.079 5.775
3546 1.034 -0.026 5.825
3547 1.034 -0.026 5.825
3548 1.034 -0.026 5.825
3549 1.017 0.076 5.825
3550 1.053 -0.079 5.775
3551 1.053 -0.079 5.775
3552 1.034 -0.026 5.825
3553 1.053 -0.079 5.775
3554 1.053 -0.132 5.825
3555 1.053 -0.079 5.775
3557 1.053 -0.132 5.825
3558 1.053 -0.079 5.775
3559 1.034 -0.026 5.825
3560 1.034 -0.026 5.825
3561 1.053 -0.079 5.775
3562 1.034 -0.026 5.825
3563 1.053 -0.079 5.775
3564 1.071 -0.188 5.775
3565 1.053 -0.079 5.775
3566 1.071 -0.188 5.775
3567 1.053 -0.079 5.775
3568 1.053 -0.079 5.775
3569 1.053 -0.079 5.775
3570 1.071 -0.188 5.775
3571 1.034 -0.026 5.825
3572 1.053 -0.079 5.775
3573 1.053 -0.079 5.775
3574 1.071 -0.188 5.775
3575 1.071 -0.134 5.725
3576 1.034 -0.026 0.000
3578 1.071 -0.134 5.725
3580 1.053 -0.079 5.775
3581 1.034 -0.026 5.825
3582 1.053 -0.079 5.775
3583 1.071 -0.134 5.725
3584 1.071 -0.134 5.725
3587 1.071 -0.188 5.775
3588 1.053 -0.132 5.825
