Plane	Strip	Speed
39 23 0.0606299
39 24 0.0602405
39 25 0.0605083
39 26 0.0614697
39 27 0.0613036
39 28 0.060405
39 29 0.0610681
39 30 0.0621839
39 31 0.0636907
39 32 0.0608885
40 1 0.0625439
40 2 0.0628639
40 3 0.0631439
40 4 0.0620296
40 5 0.0623611
40 6 0.0623368
40 7 0.0614616
40 8 0.060873
40 9 0.061751
40 10 0.0619412
40 11 0.0611904
40 12 0.0610053
40 13 0.0617859
40 14 0.0603811
40 15 0.0603948
40 16 0.0612805
40 17 0.0605957
40 18 0.060758
40 19 0.0597675
40 20 0.0613346
40 21 0.0617498
40 22 0.061234
40 23 0.0613359
40 24 0.0613903
40 25 0.0625523
40 26 0.062127
40 27 0.061709
40 28 0.0622998
40 29 0.0622666
40 30 0.0628008
40 31 0.0624354
40 32 0.0616821
41 1 0.0626265
41 2 0.0587433
41 3 0.0578095
41 4 0.0575468
41 5 0.057881
41 6 0.0578008
41 7 0.0580195
41 8 0.0582982
41 9 0.0582267
41 10 0.0581093
41 11 0.0581588
41 12 0.0583154
41 13 0.0584295
41 14 0.0586076
41 15 0.0608992
41 16 0.0584204
42 1 0.0578089
42 2 0.0568841
42 3 0.0542316
42 4 0.0543775
42 5 0.0540168
42 6 0.0538585
42 7 0.0538195
42 8 0.0538829
42 9 0.0536642
42 10 0.0534743
42 11 0.0535723
42 12 0.0537163
42 13 0.0541222
42 14 0.0549979
42 15 0.0565511
42 16 0.0544049
43 1 0.0623752
43 2 0.0624973
43 3 0.0607098
43 4 0.0592702
43 5 0.0597414
43 6 0.0589675
43 7 0.059267
43 8 0.0592954
43 9 0.0590813
43 10 0.0596742
43 11 0.0592333
43 12 0.0592754
43 13 0.059314
43 14 0.0599037
43 15 0.0608462
43 16 0.0596382
44 1 0.057241
44 2 0.059485
44 3 0.0560546
44 4 0.055811
44 5 0.0558031
44 6 0.055972
44 7 0.0555333
44 8 0.0555298
44 9 0.0557153
44 10 0.0555708
44 11 0.0558467
44 12 0.0561488
44 13 0.0565293
44 14 0.0574053
44 15 0.0590957
44 16 0.0562804
45 1 0.0583437
45 2 0.0594032
45 3 0.0583226
45 4 0.0568569
45 5 0.0566392
45 6 0.0563471
45 7 0.056387
45 8 0.0566064
45 9 0.0565592
45 10 0.0566093
45 11 0.0569947
45 12 0.0570732
45 13 0.0575101
45 14 0.0579174
45 15 0.0589961
45 16 0.0571153
46 1 0.0576662
46 2 0.057768
46 3 0.0576731
46 4 0.0574396
46 5 0.0574778
46 6 0.0575715
46 7 0.0577604
46 8 0.0574004
46 9 0.0571842
46 10 0.0571972
46 11 0.0570828
46 12 0.0571899
46 13 0.0572748
46 14 0.0570425
46 15 0.0574855
46 16 0.0574012
47 1 0.0569375
