"Message ID";"Date";"Author";"Type";"Category";"Subject";"N Run";"Shift leader";"Trigger";"DAQ status";"Mag. field";"Beam"
106;Sat  10 Dec 2016 23:56:31 +0300;"V. Babkin";"Configuration";"General";"Target changed, wrong field";"530";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV), but Tango 4 mV";"d 4Gev/nucl C (27 mm - 20%)"
107;Sun  11 Dec 2016 00:10:49 +0300;"V. Babkin";"Other";"General";"New run";"536";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
108;Sun  11 Dec 2016 00:48:52 +0300;"V. Babkin";"Other";"General";"New run";"537";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
109;Sun  11 Dec 2016 01:34:14 +0300;"V. Babkin";"Other";"General";"New run";"538";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
110;Sun  11 Dec 2016 01:38:38 +0300;"V. Babkin";"Other";"General";"No beam";"538";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
111;Sun  11 Dec 2016 01:44:34 +0300;"V. Babkin";"Other";"General";"New run";"539";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
112;Sun  11 Dec 2016 02:06:31 +0300;"V. Babkin";"Other";"General";"ZDC readout problem";"539";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
113;Sun  11 Dec 2016 02:51:14 +0300;"V. Babkin";"Other";"General";"New run";"542";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ (ZDC without 1 ADC64WR)";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
114;Sun  11 Dec 2016 03:43:54 +0300;"V. Babkin";"Other";"General";"New run";"544";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
115;Sun  11 Dec 2016 04:14:39 +0300;"V. Babkin";"Other";"General";"New run";"545";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
116;Sun  11 Dec 2016 05:02:43 +0300;"V. Babkin";"Other";"General";"New run";"548";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
117;Sun  11 Dec 2016 05:39:23 +0300;"V. Babkin";"Other";"General";"No beam";"548";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
118;Sun  11 Dec 2016 06:24:36 +0300;"V. Babkin";"Other";"General";"New run";"549";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
119;Sun  11 Dec 2016 06:25:24 +0300;"V. Babkin";"Other";"General";"New run";"554";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
120;Sun  11 Dec 2016 07:10:49 +0300;"V. Babkin";"Other";"General";"New run";"555";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C (27 mm - 20%)"
121;Sun  11 Dec 2016 08:48:05 +0300;"V. Babkin";"Configuration";"General";"Target changed";"555";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl C2H4 (Polyethylene)"
122;Sun  11 Dec 2016 09:06:38 +0300;"V. Babkin";"Shift summary";"General";"Shift summary";"None";"V. Babkin";"None";;;
123;Sun  11 Dec 2016 10:28:31 +0300;"shift";"Other";"Other";"Start Run#559 event record";"559";"Afanasiev. S";"Min bias: FD + beam trigger";;;
